Samuel J Larsen
SJL
204
10000000
11
AMZN,10,5255000,50000,995,5306400,63000,995
AAPL,20,5257880,10400,995,5303520,9835,995
GOOGL,10,5263200,71243,995,5298240,74023,995
AAPL,20,5264300,9550,500,5442240,11003,995
AAPL,40,5268520,9500,500,5503800,10522,995
AAPL,60,5268770,9310,995,5347200,10232,995
GOOGL,10,5279040,73202,995,5279160,69023,995
GOOGL,20,5286140,71200,995,5289240,72135,995
AMZN,30,5295940,61400,995,5378700,61000,995
AMZN,10,5298900,62000,995,5507280,68000,500
GOOGL,20,5301080,70512,995,5335380,73000,995
