Tammy R. Samuelson
TRS
200
10000000
15
AMZN,10,5256000,51000,995,5306400,63000,995
AAPL,20,5258880,10500,995,5303520,9835,995
MSFT,50,5261760,4820,995,5282160,4950,995
GOOGL,10,5263200,71243,995,5298240,74023,995
AAPL,20,5263200,9600,500,5442240,11003,995
AAPL,40,5267520,9400,500,5503800,10522,995
AAPL,60,5268960,9200,995,5347200,10232,995
MSFT,100,5273280,4840,995,5336760,4910,995
GOOGL,10,5279040,73202,995,5279160,69023,995
GOOGL,20,5286240,71000,995,5289240,72135,995
MSFT,50,5292000,5010,995,5355840,4920,995
MSFT,50,5294880,5020,995,5295240,5040,995
AMZN,30,5297760,62000,995,5378700,61000,995
AMZN,10,5299200,62500,995,5507280,68000,500
GOOGL,20,5302080,71532,995,5335380,73000,995
